Date,S1,S2,S3,C1,C2,G
1950-01-01,-11.204375015695886,-10.41999990940094,-10.441999912261965,-9.81020409011721,-10.18968750238419,-6.996761373269627
1950-01-02,-15.047708423932386,-15.657500219345092,-16.092000007629395,-13.796326519031938,-15.101484373956936,-11.123068161715178
1950-01-03,-16.433333289623253,-16.462499570846557,-16.878999710083008,-16.45622446196423,-16.255156376212852,-13.699488676136212
1950-01-04,-15.469791503747295,-13.91499991416931,-15.303999996185302,-16.446275519838167,-15.527343754470364,-14.650852318243572
1950-01-05,-17.269374928871784,-15.250000190734864,-16.32499990463257,-17.28326528510272,-16.181875039637106,-14.93772729526869
1950-01-06,-11.003541739781694,-9.18000007867813,-10.17499988079071,-11.762500011879135,-9.841953133046628,-8.854261374592115
1950-01-07,-10.420000018676118,-7.844999980926513,-8.763999938964842,-9.284438775875149,-8.681796847656365,-5.463011369367376
1950-01-08,-8.733124998211858,-8.209999990463256,-8.923000049591064,-8.625918340502436,-8.095546879619352,-5.830113625962449
1950-01-09,-7.871041652560232,-8.799999904632568,-9.715000104904174,-9.871275486447392,-9.0410156276077,-7.400170467173769
1950-01-10,-7.4824999739726366,-7.300000143051148,-8.115000009536743,-6.154846932932891,-7.043828125711291,-3.959034081235183
1950-01-11,-8.834583314259843,-8.350000154972076,-8.744000065326691,-9.533316342924186,-8.550312491529615,-7.478352297874256
1950-01-12,-10.267916701237356,-10.409999918937682,-10.866999959945677,-10.450459221552848,-10.15492185465992,-9.780568190103155
1950-01-13,-16.89645831982294,-15.16500015258789,-15.898999786376953,-16.56061224888785,-15.677031279355306,-15.730568193305649
1950-01-14,-22.973958484331764,-22.190000247955325,-23.6709997177124,-23.59964286161929,-23.15906253159049,-20.90096595178954
1950-01-15,-21.83062493006388,-20.31500024795532,-21.50099983215332,-22.70673468745486,-22.160781306028397,-20.249545391039444
1950-01-16,-22.05687510172525,-18.33499975204468,-21.06999988555908,-21.867857116582464,-21.411328156292463,-19.574886355616854
1950-01-17,-21.75770842234293,-19.302499723434444,-21.582999801635744,-22.65367343085154,-21.731250000000024,-21.48863638097593
1950-01-18,-24.473958285649616,-19.72999997138977,-21.551000022888186,-23.21551015036447,-22.27078126817944,-17.336818186803324
1950-01-19,-20.59708320299784,-14.662500095367433,-17.21899995803833,-17.89372452521814,-17.636875067651292,-15.366761344129412
1950-01-20,-13.2233332713445,-10.217499923706054,-12.847999858856202,-13.210612242988203,-13.254687591269624,-11.150056817043929
1950-01-21,-7.142916663053133,-5.597500023245812,-6.466000066697598,-7.675459148099999,-6.938359362949261,-5.947499991779801
1950-01-22,-2.6750000002483536,-2.8624999791383745,-3.102000030875206,-2.7853571494642053,-2.692812503536696,1.6440341028300194
1950-01-23,-4.8737500022475935,-4.65250004529953,-4.245999930799007,-3.87250000928737,-3.641015628864983,-1.7267045311629765
1950-01-24,-13.767499925692867,-11.032499980926511,-11.11599998474121,-12.336326530606188,-11.061640635877856,-9.757443213733774
1950-01-25,-21.637291741371147,-20.78500003814697,-21.180999851226808,-21.84535715385361,-20.9584375292063,-17.316534092209583
1950-01-26,-25.338333161671954,-19.69500012397766,-22.813999938964844,-22.01556124589883,-23.267968718707586,-18.3810794906183
1950-01-27,-19.964999965826664,-17.052499961853027,-20.36100015640259,-18.991887779625127,-20.12468746751549,-16.239659093726793
1950-01-28,-19.465833397706344,-16.682500314712524,-18.29099998474121,-19.83561221044894,-18.498046864569208,-15.445852280746832
1950-01-29,-20.428749970595035,-20.28750009536743,-22.11599998474121,-21.182653102096275,-21.484687481820608,-19.91335228464823
1950-01-30,-24.846666665871936,-20.769999933242797,-22.3270001411438,-24.638826478257467,-22.890234474837808,-19.057329547405278
1950-01-31,-26.155000042915347,-22.67250008583069,-23.967999744415284,-26.476734726769564,-24.48078120946887,-23.300795502012456
1950-02-01,-27.017499935626983,-21.937500190734863,-23.788999843597413,-27.1938264963578,-24.72093759924176,-23.561363633112503
1950-02-02,-25.866458447774253,-21.724999856948852,-23.84400014877319,-26.27056128735444,-24.82937497347596,-23.578863589330183
1950-02-03,-24.839166931311286,-20.7699999332428,-23.51100006103516,-24.91372448181619,-24.220390667021302,-23.573238601467857
1950-02-04,-20.96770830154418,-17.060000133514404,-20.82100028991699,-17.292142883612218,-20.17351566702129,-15.06818178675394
1950-02-05,-13.160208296775814,-9.770000052452088,-11.607999992370605,-11.351938739327776,-11.89789059460164,-9.41619320931761
1950-02-06,-7.97249995122353,-6.49999989271164,-7.6809999465942385,-6.551581622770405,-7.137734363367773,-5.251647689606225
1950-02-07,-4.154583319214485,-5.802499872446061,-6.20200001001358,-5.151173486207052,-5.6647656261513415,-2.773295442556788
1950-02-08,-4.21937498478219,-5.10750002861023,-5.13699996471405,-3.382091839440464,-4.68664063130854,-0.0576136369639158
1950-02-09,-4.325416670149815,-4.789999914169312,-5.129000025987625,-3.98479593072314,-4.555468755296892,-2.658295451519499
1950-02-10,-4.132708338679127,-5.769999873638153,-6.21899995803833,-5.429387767232797,-5.385468739538913,-4.074659113300196
1950-02-11,-5.4827083095908185,-6.1325000643730165,-7.032999897003174,-4.791479573892992,-6.116875029681244,-2.9786363684360566
