,Kittitas,Roza,Wapato,Sunnyside,Tieton
1949-01-01,0.0,0.0,0.0,0.0,0.0
1949-01-02,0.0,0.0,0.0,0.0,0.0
1949-01-03,0.0,0.0,0.0,0.0,0.0
1949-01-04,0.0,0.0,0.0,0.0,0.0
1949-01-05,0.0,0.0,0.0,0.0,0.0
1949-01-06,0.0,0.0,0.0,0.0,0.0
1949-01-07,0.0,0.0,0.0,0.0,0.0
1949-01-08,0.0,0.0,0.0,0.0,0.0
1949-01-09,0.0,0.0,0.0,0.0,0.0
1949-01-10,0.0,0.0,0.0,0.0,0.0
1949-01-11,0.0,0.0,0.0,0.0,0.0
1949-01-12,0.0,0.0,0.0,0.0,0.0
1949-01-13,0.0,0.0,0.0,0.0,0.0
1949-01-14,0.0,0.0,0.0,0.0,0.0
1949-01-15,0.0,0.0,0.0,0.0,0.0
1949-01-16,0.0,0.0,0.0,0.0,0.0
1949-01-17,0.0,0.0,0.0,0.0,0.0
1949-01-18,0.0,0.0,0.0,0.0,0.0
1949-01-19,0.0,0.0,0.0,0.0,0.0
1949-01-20,0.0,0.0,0.0,0.0,0.0
1949-01-21,0.0,0.0,0.0,0.0,0.0
1949-01-22,0.0,0.0,0.0,0.0,0.0
1949-01-23,0.0,0.0,0.0,0.0,0.0
1949-01-24,0.0,0.0,0.0,0.0,0.0
1949-01-25,0.0,0.0,0.0,0.0,0.0
1949-01-26,0.0,0.0,0.0,0.0,0.0
1949-01-27,0.0,0.0,0.0,0.0,0.0
1949-01-28,0.0,0.0,0.0,0.0,0.0
1949-01-29,0.0,0.0,0.0,0.0,0.0
1949-01-30,0.0,0.0,0.0,0.0,0.0
1949-01-31,0.0,0.0,0.0,0.0,0.0
1949-02-01,0.0,0.0,0.0,0.0,0.0
1949-02-02,0.0,0.0,0.0,0.0,0.0
1949-02-03,0.0,0.0,0.0,0.0,0.0
1949-02-04,0.0,0.0,0.0,0.0,0.0
1949-02-05,0.0,0.0,0.0,0.0,0.0
1949-02-06,0.0,0.0,0.0,0.0,0.0
1949-02-07,0.0,0.0,0.0,0.0,0.0
1949-02-08,0.0,0.0,0.0,0.0,0.0
1949-02-09,0.0,0.0,0.0,0.0,0.0
1949-02-10,0.0,0.0,0.0,0.0,0.0
1949-02-11,0.0,0.0,0.0,0.0,0.0
1949-02-12,0.0,0.0,0.0,0.0,0.0
1949-02-13,0.0,0.0,0.0,0.0,0.0
1949-02-14,0.0,0.0,0.0,0.0,0.0
1949-02-15,0.0,0.0,0.0,0.0,0.0
1949-02-16,0.0,0.0,0.0,0.0,0.0
1949-02-17,0.0,0.0,0.0,0.0,0.0
1949-02-18,0.0,0.0,0.0,0.0,0.0
1949-02-19,0.0,0.0,0.0,0.0,0.0
1949-02-20,0.0,0.0,0.0,0.0,0.0
1949-02-21,0.0,0.0,0.0,0.0,0.0
1949-02-22,0.0,0.0,0.0,0.0,0.0
1949-02-23,0.0,0.0,0.0,0.0,0.0
1949-02-24,0.0,0.0,0.0,0.0,0.0
1949-02-25,0.0,0.0,0.0,0.0,0.0
1949-02-26,0.0,0.0,0.0,0.0,0.0
1949-02-27,0.0,0.0,0.0,0.0,0.764554869
1949-02-28,0.0,0.0,0.0,0.0,1.160990727
1949-03-01,0.0,0.0,0.0,0.0,1.160990727
1949-03-02,0.0,0.0,0.0,0.0,1.160990727
1949-03-03,0.0,0.0,0.0,0.0,1.160990727
1949-03-04,0.0,0.0,0.0,0.0,1.160990727
1949-03-05,0.0,0.0,0.0,0.0,1.1043570329999999
1949-03-06,0.0,0.0,0.0,0.0,0.906139104
1949-03-07,0.0,0.0,0.0,0.0,0.6796043279999999
1949-03-08,0.0,0.0,0.0,0.0,0.368119011
1949-03-09,0.0,0.0,0.0,0.0,0.226534776
1949-03-10,0.0,0.0,0.0,0.0,0.16990108199999998
1949-03-11,0.0,0.0,0.0,0.0,0.0
1949-03-12,0.0,0.0,0.0,0.0,0.0
1949-03-13,0.0,0.0,0.0,0.0,0.0
