,Kittitas,Roza,Wapato,Sunnyside,Tieton
1/1/2021,0,0,0,0,0
1/2/2021,0,0,0,0,0
1/3/2021,0,0,0,0,0
1/4/2021,0,0,0,0,0
1/5/2021,0,0,0,0,0
1/6/2021,0,0,0,0,0
1/7/2021,0,0,0,0,0
1/8/2021,0,0,0,0,0
1/9/2021,0,0,0,0,0
1/10/2021,0,0,0,0,0
1/11/2021,0,0,0,0,0
1/12/2021,0,0,0,0,0
1/13/2021,0,0,0,0,0
1/14/2021,0,0,0,0,0
1/15/2021,0,0,0,0,0
1/16/2021,0,0,0,0,0
1/17/2021,0,0,0,0,0
1/18/2021,0,0,0,0,0
1/19/2021,0,0,0,0,0
1/20/2021,0,0,0,0,0
1/21/2021,0,0,0,0,0
1/22/2021,0,0,0,0,0
1/23/2021,0,0,0,0,0
1/24/2021,0,0,0,0,0
1/25/2021,0,0,0,0,0
1/26/2021,0,0,0,0,0
1/27/2021,0,0,0,0,0
1/28/2021,0,0,0,0,0
1/29/2021,0,0,0,0,0
1/30/2021,0,0,0,0,0
1/31/2021,0,0,0,0,0
2/1/2021,0,0,0,0,0
2/2/2021,0,0,0,0,0
2/3/2021,0,0,0,0,0
2/4/2021,0,0,0,0,0
2/5/2021,0,0,0,0,0
2/6/2021,0,0,0,0,0
2/7/2021,0,0,0,0,0
2/8/2021,0,0,0,0,0
2/9/2021,0,0,0,0,0
2/10/2021,0,0,0,0,0
2/11/2021,0,0,0,0,0
2/12/2021,0,0,0,0,0
2/13/2021,0,0,0,0,0
2/14/2021,0,0,0,0,0
2/15/2021,0,0,0,0,0
2/16/2021,0,0,0,0,0
2/17/2021,0,0,0,0,0
2/18/2021,0,0,0,0,0
2/19/2021,0,0,0,0,0
2/20/2021,0,0,0,0,0
2/21/2021,0,0,0,0,0
2/22/2021,0,0,0,0,0
2/23/2021,0,0,0,0,0
2/24/2021,0,0,0,0,0
2/25/2021,0,0,0,0,0
2/26/2021,0,0,0,0,0
2/27/2021,0,0,0,0,0.764554869
2/28/2021,0,0,0,0,1.160990727
3/1/2021,0,0,0,0,1.160990727
3/2/2021,0,0,0,0,1.160990727
3/3/2021,0,0,0,0,1.160990727
3/4/2021,0,0,0,0,1.160990727
3/5/2021,0,0,0,0,1.104357033
3/6/2021,0,0,0,0,0.906139104
3/7/2021,0,0,0,0,0.679604328
